Eb/N0(dB)  Bits        Errors      BER(meas)    BER(theory)   Time(s)
--------  ----------  ----------  -----------  -----------  --------
    0.00      999900       79038    0.0790459    0.0786496     0.488
    1.00      999900       56309    0.0563146     0.056282     0.493
    2.00      999900       37515    0.0375188    0.0375061     0.493
    3.00      999900       23056    0.0230583    0.0228784     0.492
    4.00      999900       12425    0.0124262    0.0125008     0.499
    5.00      999900        6008    0.0060086   0.00595387     0.487
    6.00      999900        2386   0.00238624   0.00238829     0.505
    7.00      999900         802   0.00080208  0.000772675     0.497
    8.00      999900         190  0.000190019  0.000190908     0.495
    9.00     9999900         321  3.21003e-005  3.36272e-005     5.620
   10.00    49999900         193  3.86001e-006  3.87211e-006    39.679
   10.50   199999900         215   1.075e-006  1.08385e-006   162.494
   11.00   999999900         264    2.64e-007  2.61307e-007   630.536
